"""""fixed acidity"""";""""volatile acidity"""";""""citric acid"""";""""residual sugar"""";""""chlorides"""";""""free sulfur dioxide"""";""""total sulfur dioxide"""";""""density"""";""""pH"""";""""sulphates"""";""""alcohol"""";""""quality""""","""fixed acidity"""";""""volatile acidity"""";""""citric acid"""";""""residual sugar"""";""""chlorides"""";""""free sulfur dioxide"""";""""total sulfur dioxide"""";""""density"""";""""pH"""";""""sulphates"""";""""alcohol"""";""""quality"""""
7.1;0.68;0.07;1.9;0.075;16;51;0.99685;3.38;0.52;9.5;5,
6.1;0.21;0.4;1.4;0.066;40.5;165;0.9912;3.25;0.59;11.9;6,
6.3;0.39;0.16;1.4;0.08;11;23;0.9955;3.34;0.56;9.3;5,
12;0.38;0.56;2.1;0.093;6;24;0.99925;3.14;0.71;10.9;6,
7.4;0.6;0.26;7.3;0.07;36;121;0.9982;3.37;0.49;9.4;5,
,12.8;0.615;0.66;5.8;0.083;7;42;1.0022;3.07;0.73;10;7
9.6;0.41;0.37;2.3;0.091;10;23;0.99786;3.24;0.56;10.5;5,
6.8;0.77;0;1.8;0.066;34;52;0.9976;3.62;0.68;9.9;5,
10.8;0.32;0.44;1.6;0.063;16;37;0.9985;3.22;0.78;10;6,
,15.5;0.645;0.49;4.2;0.095;10;23;1.00315;2.92;0.74;11.1;5
8;0.77;0.32;2.1;0.079;16;74;0.99656;3.27;0.5;9.8;6,
9.1;0.6;0;1.9;0.058;5;10;0.9977;3.18;0.63;10.4;6,
8;0.43;0.36;2.3;0.075;10;48;0.9976;3.34;0.46;9.4;5,
8.6;0.315;0.4;2.2;0.079;3;6;0.99512;3.27;0.67;11.9;6,
8.9;0.32;0.31;2;0.088;12;19;0.9957;3.17;0.55;10.4;6,
11.9;0.37;0.69;2.3;0.078;12;24;0.9958;3;0.65;12.8;6,
11.5;0.315;0.54;2.1;0.084;5;15;0.9987;2.98;0.7;9.2;6,
9.4;0.395;0.46;4.6;0.094;3;10;0.99639;3.27;0.64;12.2;7,
6.6;0.44;0.09;2.2;0.063;9;18;0.99444;3.42;0.69;11.3;6,
9.8;0.39;0.43;1.65;0.068;5;11;0.99478;3.19;0.46;11.4;5,
7.2;0.54;0.27;2.6;0.084;12;78;0.9964;3.39;0.71;11;5,
,9.9;0.63;0.24;2.4;0.077;6;33;0.9974;3.09;0.57;9.4;5
8.6;0.645;0.25;2;0.083;8;28;0.99815;3.28;0.6;10;6,
7.1;0.735;0.16;1.9;0.1;15;77;0.9966;3.27;0.64;9.3;5,
